INPUT,FOUND_BY,DTXCID_INDIVIDUAL_COMPONENT,FORMULA_INDIVIDUAL_COMPONENT,SMILES_INDIVIDUAL_COMPONENT,MAPPED_DTXSID,PREFERRED_NAME_DTXSID,CASRN_DTXSID,FORMULA_MAPPED_DTXSID,SMILES_MAPPED_DTXSID,MS_READY_SMILES,INCHI_STRING_DTXCID,INCHIKEY_DTXCID,MONOISOTOPIC_MASS_DTXCID
C4H3F7,MS Ready Formula,DTXCID30393836,C4H3F7,FC(F)CC(F)(F)C(F)(F)F,DTXSID60443015,"1,1,1,2,2,4,4-Heptafluorobutane",161791-36-2,C4H3F7,FC(F)CC(F)(F)C(F)(F)F,FC(F)CC(F)(F)C(F)(F)F,"InChI=1S/C4H3F7/c5-2(6)1-3(7,8)4(9,10)11/h2H,1H2",RHVGXXQQIJMCMW-UHFFFAOYSA-N,184.0122972
C4H3F7,MS Ready Formula,DTXCID50972627,C4H3F7,FCC(F)(F)C(F)C(F)(F)F,DTXSID50510942,"1,1,1,2,3,3,4-Heptafluorobutane",53005-35-9,C4H3F7,FCC(F)(F)C(F)C(F)(F)F,FCC(F)(F)C(F)C(F)(F)F,"InChI=1/C4H3F7/c5-1-3(7,8)2(6)4(9,10)11/h2H,1H2",LHIHPLUYVRLEBM-UHFFFAOYSA-N,184.0122972
C4HF9,MS Ready Formula,DTXCID30330726,C4HF9,FC(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID20379700,1H-Nonafluorobutane,375-17-7,C4HF9,FC(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H",ZQTIKDIHRRLSRV-UHFFFAOYSA-N,219.9934535
C4HF9,MS Ready Formula,DTXCID30330726,C4HF9,FC(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID60541222,"Cadmium bis(1,1,2,2,3,3,4,4,4-nonafluorobutan-1-ide)",93367-04-5,C8CdF18,[Cd++].F[C-](F)C(F)(F)C(F)(F)C(F)(F)F.F[C-](F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H",ZQTIKDIHRRLSRV-UHFFFAOYSA-N,219.9934535
C4HF9,MS Ready Formula,DTXCID80114073,C4HF9,FC(F)(F)C(C(F)(F)F)C(F)(F)F,DTXSID40191582,"2-(Trifluoromethyl)-1,1,1,3,3,3-hexafluoropropane",382-24-1,C4HF9,FC(F)(F)C(C(F)(F)F)C(F)(F)F,FC(F)(F)C(C(F)(F)F)C(F)(F)F,"InChI=1S/C4HF9/c5-2(6,7)1(3(8,9)10)4(11,12)13/h1H",IMRLDNHHTCXOOR-UHFFFAOYSA-N,219.9934535
C4HF9,MS Ready Formula,DTXCID30330726,C4HF9,FC(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID30507633,"Magnesium bromide 1,1,2,2,3,3,4,4,4-nonafluorobutan-1-ide (1/1/1)",82416-69-1,C4BrF9Mg,[Mg++].[Br-].F[C-](F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H",ZQTIKDIHRRLSRV-UHFFFAOYSA-N,219.9934535
C4HF9,MS Ready Formula,DTXCID30330726,C4HF9,FC(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID00544914,"Copper(1+) 1,1,2,2,3,3,4,4,4-nonafluorobutan-1-ide",124521-58-0,C4CuF9,[Cu+].F[C-](F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H",ZQTIKDIHRRLSRV-UHFFFAOYSA-N,219.9934535
C4H2F8,MS Ready Formula,DTXCID1039391,C4H2F8,FC(F)C(F)(F)C(F)(F)C(F)F,DTXSID0073900,"1H,4H-Octafluorobutane",377-36-6,C4H2F8,FC(F)C(F)(F)C(F)(F)C(F)F,FC(F)C(F)(F)C(F)(F)C(F)F,"InChI=1S/C4H2F8/c5-1(6)3(9,10)4(11,12)2(7)8/h1-2H",LKLFXAVIFCLZQS-UHFFFAOYSA-N,202.0028754
C4H2F8,MS Ready Formula,DTXCID80869293,C4H2F8,FC(F)C(F)C(F)(F)C(F)(F)F,DTXSID50618977,"1,1,1,2,2,3,4,4-Octafluorobutane",119450-58-7,C4H2F8,FC(F)C(F)C(F)(F)C(F)(F)F,FC(F)C(F)C(F)(F)C(F)(F)F,"InChI=1/C4H2F8/c5-1(2(6)7)3(8,9)4(10,11)12/h1-2H",JXYDBXYONJOCIH-UHFFFAOYSA-N,202.0028754
C4H2F8,MS Ready Formula,DTXCID00518231,C4H2F8,FC(F)C(C(F)(F)F)C(F)(F)F,DTXSID10567457,"2-(Difluoromethyl)-1,1,1,3,3,3-hexafluoropropane",382-20-7,C4H2F8,FC(F)C(C(F)(F)F)C(F)(F)F,FC(F)C(C(F)(F)F)C(F)(F)F,"InChI=1S/C4H2F8/c5-2(6)1(3(7,8)9)4(10,11)12/h1-2H",GJGZORLNAVPVBT-UHFFFAOYSA-N,202.0028754
C4H2F8,MS Ready Formula,DTXCID90573834,C4H2F8,FC(F)C(F)(C(F)F)C(F)(F)F,DTXSID90623080,"2-(Difluoromethyl)-1,1,1,2,3,3-hexafluoropropane",65781-21-7,C4H2F8,FC(F)C(F)(C(F)F)C(F)(F)F,FC(F)C(F)(C(F)F)C(F)(F)F,"InChI=1S/C4H2F8/c5-1(6)3(9,2(7)8)4(10,11)12/h1-2H",JHNVZNKTGCNIRI-UHFFFAOYSA-N,202.0028754
C5H5F7,MS Ready Formula,DTXCID90425384,C5H5F7,CCC(F)(F)C(F)(F)C(F)(F)F,DTXSID50474570,"1,1,1,2,2,3,3-Heptafluoropentane",30423-63-3,C5H5F7,CCC(F)(F)C(F)(F)C(F)(F)F,CCC(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C5H5F7/c1-2-3(6,7)4(8,9)5(10,11)12/h2H2,1H3",YLXMZWSVIPOWNY-UHFFFAOYSA-N,198.0279473
C4H2ClF7,MS Ready Formula,DTXCID90113330,C4H2ClF7,FC(F)(F)C(F)(F)C(F)(F)CCl,DTXSID00190839,"1,1,1,2,2,3,3-Heptafluoro-4-chlorobutane",374-97-0,C4H2ClF7,FC(F)(F)C(F)(F)C(F)(F)CCl,FC(F)(F)C(F)(F)C(F)(F)CCl,"InChI=1S/C4H2ClF7/c5-1-2(6,7)3(8,9)4(10,11)12/h1H2",SZBKCQKJQAYJJN-UHFFFAOYSA-N,217.9733249
C4H2ClF7,MS Ready Formula,DTXCID70896891,C4H2ClF7,FC(C(Cl)C(F)(F)F)C(F)(F)F,DTXSID00381149,"2-chloro-1,1,1,3,4,4,4-heptafluorobutane",507453-83-0,C4H2ClF7,FC(C(Cl)C(F)(F)F)C(F)(F)F,FC(C(Cl)C(F)(F)F)C(F)(F)F,"InChI=1/C4H2ClF7/c5-1(3(7,8)9)2(6)4(10,11)12/h1-2H",YCBUFAWATXHLGJ-UHFFFAOYSA-N,217.9733249
C4H2F7I,MS Ready Formula,DTXCID3039323,C4H2F7I,FC(F)(F)C(F)(F)C(F)(F)CI,DTXSID4059912,Heptafluorobutyl iodide,374-98-1,C4H2F7I,FC(F)(F)C(F)(F)C(F)(F)CI,FC(F)(F)C(F)(F)C(F)(F)CI,"InChI=1S/C4H2F7I/c5-2(6,1-12)3(7,8)4(9,10)11/h1H2",AFHPVXVEXINDFS-UHFFFAOYSA-N,309.90894
C4H2F7I,MS Ready Formula,DTXCID60870468,C4H2F7I,FC(F)C(F)(F)C(F)(F)C(F)I,DTXSID00625237,"1,1,2,2,3,3,4-Heptafluoro-4-iodobutane",90015-83-1,C4H2F7I,FC(F)C(F)(F)C(F)(F)C(F)I,FC(F)C(F)(F)C(F)(F)C(F)I,"InChI=1/C4H2F7I/c5-1(6)3(8,9)4(10,11)2(7)12/h1-2H",ADPZATDHCHHAIL-UHFFFAOYSA-N,309.90894
C4H2F7I,MS Ready Formula,DTXCID10580267,C4H2F7I,FC(F)(F)C(F)(F)CC(F)(F)I,DTXSID60629514,"1,1,1,2,2,4,4-Heptafluoro-4-iodobutane",1810-11-3,C4H2F7I,FC(F)(F)C(F)(F)CC(F)(F)I,FC(F)(F)C(F)(F)CC(F)(F)I,"InChI=1S/C4H2F7I/c5-2(6,4(9,10)11)1-3(7,8)12/h1H2",HARLTNOWESORSQ-UHFFFAOYSA-N,309.90894
C4H2F7I,MS Ready Formula,DTXCID90871665,C4H2F7I,FC(F)(F)CC(F)(I)C(F)(F)F,DTXSID80631391,"1,1,1,2,4,4,4-Heptafluoro-2-iodobutane",29151-22-2,C4H2F7I,FC(F)(F)CC(F)(I)C(F)(F)F,FC(F)(F)CC(F)(I)C(F)(F)F,"InChI=1/C4H2F7I/c5-2(12,4(9,10)11)1-3(6,7)8/h1H2",YYTHDXRHZVCPEC-UHFFFAOYSA-N,309.90894
C6H7F7,MS Ready Formula,DTXCID30551833,C6H7F7,CC(F)(F)C(C(C)(F)F)C(F)(F)F,DTXSID00601076,"2,2,4,4-Tetrafluoro-3-(trifluoromethyl)pentane",138524-13-7,C6H7F7,CC(F)(F)C(C(C)(F)F)C(F)(F)F,CC(F)(F)C(C(C)(F)F)C(F)(F)F,"InChI=1S/C6H7F7/c1-4(7,8)3(5(2,9)10)6(11,12)13/h3H,1-2H3",URYFBXKFZYVJSW-UHFFFAOYSA-N,212.0435974
C7H9F7,MS Ready Formula,DTXCID10550405,C7H9F7,CCCCC(F)(F)C(F)(F)C(F)(F)F,DTXSID60599647,"1,1,1,2,2,3,3-Heptafluoroheptane",152076-35-2,C7H9F7,CCCCC(F)(F)C(F)(F)C(F)(F)F,CCCCC(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C7H9F7/c1-2-3-4-5(8,9)6(10,11)7(12,13)14/h2-4H2,1H3",YHNUMBKYLJWTIO-UHFFFAOYSA-N,226.0592474
C5H3F7,MS Ready Formula,DTXCID901021797,C5H3F7,FC1CC(F)(F)C(F)(F)C1(F)F,DTXSID50880218,"1H,1H,2H-Perfluorocyclopentane",15290-77-4,C5H3F7,FC1CC(F)(F)C(F)(F)C1(F)F,FC1CC(F)(F)C(F)(F)C1(F)F,"InChI=1/C5H3F7/c6-2-1-3(7,8)5(11,12)4(2,9)10/h2H,1H2",IDBYQQQHBYGLEQ-UHFFFAOYSA-N,196.0122972
C5H3F7,MS Ready Formula,DTXCID5034981,C5H3F7,FC(F)C(F)(F)C(F)(F)C(F)=C,DTXSID1074595,"2,3,3,4,4,5,5-Heptafluoro-1-pentene",1547-26-8,C5H3F7,FC(F)C(F)(F)C(F)(F)C(F)=C,FC(F)C(F)(F)C(F)(F)C(F)=C,"InChI=1S/C5H3F7/c1-2(6)4(9,10)5(11,12)3(7)8/h3H,1H2",ZHKVUSSHABANQG-UHFFFAOYSA-N,196.0122972
C5H3F7,MS Ready Formula,DTXCID00331700,C5H3F7,FC(F)(F)C(F)(C=C)C(F)(F)F,DTXSID20380674,2-Vinylperfluoropropane,88562-41-8,C5H3F7,FC(F)(F)C(F)(C=C)C(F)(F)F,FC(F)(F)C(F)(C=C)C(F)(F)F,"InChI=1S/C5H3F7/c1-2-3(6,4(7,8)9)5(10,11)12/h2H,1H2",YOIHZDOLVJDWDY-UHFFFAOYSA-N,196.0122972
C4F10,MS Ready Formula,DTXCID3039036,C4F10,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID5059876,Perfluorobutane,355-25-9,C4F10,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4F10/c5-1(6,3(9,10)11)2(7,8)4(12,13)14",KAVGMUDTWQVPDF-UHFFFAOYSA-N,237.9840316
C4F10,MS Ready Formula,DTXCID10111373,C4F10,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,DTXSID50188882,Perflisobutane,354-92-7,C4F10,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,"InChI=1S/C4F10/c5-1(2(6,7)8,3(9,10)11)4(12,13)14",COQIQRBKEGPRSG-UHFFFAOYSA-N,237.9840316
C5H4F7I,MS Ready Formula,DTXCID00299119,C5H4F7I,FC(F)(F)C(F)(CCI)C(F)(F)F,DTXSID70348047,2-(2-Iodoethyl)perfluoropropane,99324-96-6,C5H4F7I,FC(F)(F)C(F)(CCI)C(F)(F)F,FC(F)(F)C(F)(CCI)C(F)(F)F,"InChI=1S/C5H4F7I/c6-3(1-2-13,4(7,8)9)5(10,11)12/h1-2H2",NRVDKMYDLZBFEH-UHFFFAOYSA-N,323.92459
C5H4F7I,MS Ready Formula,DTXCID50199352,C5H4F7I,FC(F)(F)C(F)(F)C(F)(F)CCI,DTXSID60880148,3:2 Fluorotelomer iodide,1513-88-8,C5H4F7I,FC(F)(F)C(F)(F)C(F)(F)CCI,FC(F)(F)C(F)(F)C(F)(F)CCI,"InChI=1S/C5H4F7I/c6-3(7,1-2-13)4(8,9)5(10,11)12/h1-2H2",TZNRRNKRZXHADL-UHFFFAOYSA-N,323.92459
C5H4F7I,MS Ready Formula,DTXCID50199352,C5H4F7I,FC(F)(F)C(F)(F)C(F)(F)CCI,DTXSID30150002,"Silicon, (3,3,4,4,5,5,5-heptafluoro-1-iodopentyl)((2,2',2''-nitrilotris(ethanolato))(3-)-N,O,O',O'')-, (TB-5-23)-",112341-58-9,C11H15F7INO3Si,[Si+4].[O-]CCN(CC[O-])CC[O-].FC(F)(F)C(F)(F)C(F)(F)C[CH-]I,"FC(F)(F)C(F)(F)C(F)(F)CCI,OCCN(CCO)CCO","InChI=1S/C5H4F7I/c6-3(7,1-2-13)4(8,9)5(10,11)12/h1-2H2",TZNRRNKRZXHADL-UHFFFAOYSA-N,323.92459
C5HF7,MS Ready Formula,DTXCID8035976,C5HF7,FC1=CC(F)(F)C(F)(F)C1(F)F,DTXSID3074654,"Cyclopentene, 1,3,3,4,4,5,5-heptafluoro-",1892-03-1,C5HF7,FC1=CC(F)(F)C(F)(F)C1(F)F,FC1=CC(F)(F)C(F)(F)C1(F)F,"InChI=1S/C5HF7/c6-2-1-3(7,8)5(11,12)4(2,9)10/h1H",AWDCOETZVBNIIV-UHFFFAOYSA-N,193.9966472
C5HF7,MS Ready Formula,DTXCID70333074,C5HF7,FC(F)(F)C(F)(F)C(F)(F)C#C,DTXSID90382049,"3,3,4,4,5,5,5-heptafluoropent-1-yne",80337-25-3,C5HF7,FC(F)(F)C(F)(F)C(F)(F)C#C,FC(F)(F)C(F)(F)C(F)(F)C#C,"InChI=1S/C5HF7/c1-2-3(6,7)4(8,9)5(10,11)12/h1H",GQXURUTWTUSYPE-UHFFFAOYSA-N,193.9966472
